weeks,language,len
2023-07,de,213.14929403595403
2023-07,en,200.7907190966183
2023-07,es,206.60036344362837
2023-07,fr,203.58116130491322
2023-07,it,202.19554135798273
2023-07,ru,145.93453461239307
2023-07,uk,122.02472003812247
2023-08,de,214.6678641447853
2023-08,en,201.6134569893885
2023-08,es,213.46371855345913
2023-08,fr,220.8956823761902
2023-08,it,213.48049613872925
2023-08,ru,161.1398538301904
2023-08,uk,136.5051224736891
2023-09,de,239.77896622120912
2023-09,en,224.85858876053288
2023-09,es,228.00127738089606
2023-09,fr,240.22810645104877
2023-09,it,231.27414509145532
2023-09,ru,187.76909179348203
2023-09,uk,147.1799060810544
2023-10,de,230.94612638588544
2023-10,en,214.66762768394835
2023-10,es,225.30997653815177
2023-10,fr,241.86837828569725
2023-10,it,229.37538441115953
2023-10,ru,196.08443100842152
2023-10,uk,145.55782757427835
2023-11,de,234.2011213840327
2023-11,en,216.77578466185054
2023-11,es,223.91934970598408
2023-11,fr,239.2431825593939
2023-11,it,231.6193788774274
2023-11,ru,201.28717338179084
2023-11,uk,152.8017589836983
2023-12,de,234.655762550235
2023-12,en,218.51812941301634
2023-12,es,232.76259345107897
2023-12,fr,248.0316166986504
2023-12,it,230.8581867033651
2023-12,ru,198.2470867350499
2023-12,uk,153.6674111297227
2023-13,de,231.21115558559026
2023-13,en,225.73303042453261
2023-13,es,229.43102814727715
2023-13,fr,252.4839942299429
2023-13,it,242.33857113465692
2023-13,ru,209.41051250273384
2023-13,uk,153.7833310258895
2023-14,de,223.48117130047498
2023-14,en,218.97992301443844
2023-14,es,233.6281045751634
2023-14,fr,247.34939799612698
2023-14,it,233.77788265832865
2023-14,ru,208.25042136077354
2023-14,uk,144.76261245871768
2023-15,de,231.2842310834778
2023-15,en,225.30378906850527
2023-15,es,228.0567172034087
2023-15,fr,243.78893218734066
2023-15,it,235.32609745885534
2023-15,ru,204.25434678577125
2023-15,uk,150.98726878546057
2023-16,de,223.71027440970008
2023-16,en,207.3519764173458
2023-16,es,234.8388593210587
2023-16,fr,226.8149080947331
2023-16,it,234.15008527572485
2023-16,ru,186.39023129603308
2023-16,uk,129.78274231678486
2023-17,de,203.7878437047757
2023-17,en,193.10556074475372
2023-17,es,231.61764705882354
2023-17,fr,252.21862224039248
2023-17,it,231.33958267132718
2023-17,ru,156.11732973701956
2023-17,uk,107.55337051169161
2023-18,de,224.74053452115814
2023-18,en,189.9088353459363
2023-18,es,224.60560090286344
2023-18,fr,250.44315337861994
2023-18,it,234.2922798734241
2023-18,ru,130.9153383851581
2023-18,uk,103.12981674944339
2023-19,de,196.37491877842754
2023-19,en,208.11784039782145
2023-19,es,221.8586765362102
2023-19,fr,244.17836241893815
2023-19,it,214.404024208482
2023-19,ru,138.38226673180264
2023-19,uk,102.02277351698231
2023-20,de,236.67369407355352
2023-20,en,201.97164859377025
2023-20,es,214.23681429955093
2023-20,fr,245.97745184510768
2023-20,it,236.26314126198253
2023-20,ru,133.90238393977415
2023-20,uk,104.14469602977667
2023-21,de,225.36036585365855
2023-21,en,199.42150647642362
2023-21,es,216.3477940725287
2023-21,fr,262.7546806333153
2023-21,it,238.75347791750198
2023-21,ru,114.40959040959041
2023-21,uk,103.60879534845631
2023-22,de,228.33659786047915
2023-22,en,224.24757292049557
2023-22,es,217.51408838883304
2023-22,fr,251.9758674853634
2023-22,it,233.81523565655758
2023-22,ru,145.8111475409836
2023-22,uk,112.49209621993127
2023-23,de,239.6276130720509
2023-23,en,227.39651960288128
2023-23,es,230.54220953746128
2023-23,fr,246.29056975950232
2023-23,it,237.20894575446758
2023-23,ru,208.72247882986912
2023-23,uk,193.45693563009974
2023-24,de,231.4555050045496
2023-24,en,230.47114375655823
2023-24,es,232.99383052279373
2023-24,fr,251.08752566735112
2023-24,it,192.24449531284063
2023-24,ru,201.41787758696609
2023-24,uk,202.24326923076924
2023-52,de,206.24641266699655
2023-52,en,181.98981806701133
2023-52,es,186.03213242453748
2023-52,fr,200.18535060294775
2023-52,it,196.69070512820514
2023-52,ru,116.25592885375494
2023-52,uk,98.46788633709615
